id,area,time,population,area_km2,area_population_density,foot_traffic,area_type,socially_vulnerable_zone,minorities_zone,student_zone,nightlife_zone,day_of_week,hour,is_weekend,is_night,weather,incident_count
24713,Veeriku,2026-03-26 04:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Thursday,4,0,1,clear,0
24714,Ülejõe,2026-03-26 04:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Thursday,4,0,1,clear,0
24715,Annelinn,2026-03-26 05:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Thursday,5,0,1,clear,1
24716,Ihaste,2026-03-26 05:00:00,3050,4.8,635,low,residential,0,0,0,0,Thursday,5,0,1,clear,0
24717,Jaamamõisa,2026-03-26 05:00:00,3464,1.5,2309,low,residential,1,1,0,0,Thursday,5,0,1,clear,0
24718,Karlova,2026-03-26 05:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Thursday,5,0,1,clear,0
24719,Kesklinn,2026-03-26 05:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Thursday,5,0,1,clear,0
24720,Kvissentali,2026-03-26 05:00:00,865,1.509,573,low,residential,0,0,0,0,Thursday,5,0,1,clear,0
24721,Maarjamõisa,2026-03-26 05:00:00,477,1.133,421,low,residential,0,0,0,0,Thursday,5,0,1,clear,0
24722,Raadi-Kruusamäe,2026-03-26 05:00:00,4804,2.828,1699,low,residential,0,0,0,0,Thursday,5,0,1,clear,0
24723,Ropka,2026-03-26 05:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Thursday,5,0,1,clear,0
24724,Ropka tööstuse,2026-03-26 05:00:00,2198,3.249,676,low,commercial,1,1,0,0,Thursday,5,0,1,clear,0
24725,Ränilinn,2026-03-26 05:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Thursday,5,0,1,clear,0
24726,Supilinn,2026-03-26 05:00:00,2307,0.483,4776,low,residential,1,0,1,0,Thursday,5,0,1,clear,0
24727,Tammelinn,2026-03-26 05:00:00,8118,3.182,2551,low,residential,0,0,0,0,Thursday,5,0,1,clear,0
24728,Tähtvere,2026-03-26 05:00:00,3158,2.5,1263,low,residential,0,0,0,0,Thursday,5,0,1,clear,0
24729,Vaksali,2026-03-26 05:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Thursday,5,0,1,clear,0
24730,Variku,2026-03-26 05:00:00,1714,0.761,2252,low,residential,1,0,0,0,Thursday,5,0,1,clear,0
24731,Veeriku,2026-03-26 05:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Thursday,5,0,1,clear,0
24732,Ülejõe,2026-03-26 05:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Thursday,5,0,1,clear,1
24733,Annelinn,2026-03-26 06:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Thursday,6,0,0,clear,0
24734,Ihaste,2026-03-26 06:00:00,3050,4.8,635,low,residential,0,0,0,0,Thursday,6,0,0,clear,0
24735,Jaamamõisa,2026-03-26 06:00:00,3464,1.5,2309,low,residential,1,1,0,0,Thursday,6,0,0,clear,0
24736,Karlova,2026-03-26 06:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Thursday,6,0,0,clear,0
24737,Kesklinn,2026-03-26 06:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Thursday,6,0,0,clear,0
24738,Kvissentali,2026-03-26 06:00:00,865,1.509,573,low,residential,0,0,0,0,Thursday,6,0,0,clear,0
24739,Maarjamõisa,2026-03-26 06:00:00,477,1.133,421,low,residential,0,0,0,0,Thursday,6,0,0,clear,0
24740,Raadi-Kruusamäe,2026-03-26 06:00:00,4804,2.828,1699,low,residential,0,0,0,0,Thursday,6,0,0,clear,0
24741,Ropka,2026-03-26 06:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Thursday,6,0,0,clear,0
24742,Ropka tööstuse,2026-03-26 06:00:00,2198,3.249,676,low,commercial,1,1,0,0,Thursday,6,0,0,clear,0
24743,Ränilinn,2026-03-26 06:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Thursday,6,0,0,clear,0
24744,Supilinn,2026-03-26 06:00:00,2307,0.483,4776,low,residential,1,0,1,0,Thursday,6,0,0,clear,0
24745,Tammelinn,2026-03-26 06:00:00,8118,3.182,2551,low,residential,0,0,0,0,Thursday,6,0,0,clear,0
24746,Tähtvere,2026-03-26 06:00:00,3158,2.5,1263,low,residential,0,0,0,0,Thursday,6,0,0,clear,0
24747,Vaksali,2026-03-26 06:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Thursday,6,0,0,clear,0
24748,Variku,2026-03-26 06:00:00,1714,0.761,2252,low,residential,1,0,0,0,Thursday,6,0,0,clear,0
24749,Veeriku,2026-03-26 06:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Thursday,6,0,0,clear,0
24750,Ülejõe,2026-03-26 06:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Thursday,6,0,0,clear,0
24751,Annelinn,2026-03-26 07:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Thursday,7,0,0,clear,0
24752,Ihaste,2026-03-26 07:00:00,3050,4.8,635,low,residential,0,0,0,0,Thursday,7,0,0,clear,0
24753,Jaamamõisa,2026-03-26 07:00:00,3464,1.5,2309,low,residential,1,1,0,0,Thursday,7,0,0,clear,0
24754,Karlova,2026-03-26 07:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Thursday,7,0,0,clear,0
24755,Kesklinn,2026-03-26 07:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Thursday,7,0,0,clear,0
24756,Kvissentali,2026-03-26 07:00:00,865,1.509,573,low,residential,0,0,0,0,Thursday,7,0,0,clear,0
24757,Maarjamõisa,2026-03-26 07:00:00,477,1.133,421,low,residential,0,0,0,0,Thursday,7,0,0,clear,0
24758,Raadi-Kruusamäe,2026-03-26 07:00:00,4804,2.828,1699,low,residential,0,0,0,0,Thursday,7,0,0,clear,0
24759,Ropka,2026-03-26 07:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Thursday,7,0,0,clear,0
24760,Ropka tööstuse,2026-03-26 07:00:00,2198,3.249,676,low,commercial,1,1,0,0,Thursday,7,0,0,clear,0
24761,Ränilinn,2026-03-26 07:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Thursday,7,0,0,clear,0
24762,Supilinn,2026-03-26 07:00:00,2307,0.483,4776,low,residential,1,0,1,0,Thursday,7,0,0,clear,0
24763,Tammelinn,2026-03-26 07:00:00,8118,3.182,2551,low,residential,0,0,0,0,Thursday,7,0,0,clear,0
24764,Tähtvere,2026-03-26 07:00:00,3158,2.5,1263,low,residential,0,0,0,0,Thursday,7,0,0,clear,0
24765,Vaksali,2026-03-26 07:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Thursday,7,0,0,clear,0
24766,Variku,2026-03-26 07:00:00,1714,0.761,2252,low,residential,1,0,0,0,Thursday,7,0,0,clear,0
24767,Veeriku,2026-03-26 07:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Thursday,7,0,0,clear,0
24768,Ülejõe,2026-03-26 07:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Thursday,7,0,0,clear,1
24769,Annelinn,2026-03-26 08:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Thursday,8,0,0,clear,0
24770,Ihaste,2026-03-26 08:00:00,3050,4.8,635,low,residential,0,0,0,0,Thursday,8,0,0,clear,0
24771,Jaamamõisa,2026-03-26 08:00:00,3464,1.5,2309,low,residential,1,1,0,0,Thursday,8,0,0,clear,0
24772,Karlova,2026-03-26 08:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Thursday,8,0,0,clear,0
24773,Kesklinn,2026-03-26 08:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Thursday,8,0,0,clear,1
24774,Kvissentali,2026-03-26 08:00:00,865,1.509,573,low,residential,0,0,0,0,Thursday,8,0,0,clear,0
24775,Maarjamõisa,2026-03-26 08:00:00,477,1.133,421,low,residential,0,0,0,0,Thursday,8,0,0,clear,0
24776,Raadi-Kruusamäe,2026-03-26 08:00:00,4804,2.828,1699,low,residential,0,0,0,0,Thursday,8,0,0,clear,0
24777,Ropka,2026-03-26 08:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Thursday,8,0,0,clear,0
24778,Ropka tööstuse,2026-03-26 08:00:00,2198,3.249,676,low,commercial,1,1,0,0,Thursday,8,0,0,clear,0
24779,Ränilinn,2026-03-26 08:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Thursday,8,0,0,clear,0
24780,Supilinn,2026-03-26 08:00:00,2307,0.483,4776,low,residential,1,0,1,0,Thursday,8,0,0,clear,0
24781,Tammelinn,2026-03-26 08:00:00,8118,3.182,2551,low,residential,0,0,0,0,Thursday,8,0,0,clear,0
24782,Tähtvere,2026-03-26 08:00:00,3158,2.5,1263,low,residential,0,0,0,0,Thursday,8,0,0,clear,0
24783,Vaksali,2026-03-26 08:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Thursday,8,0,0,clear,1
24784,Variku,2026-03-26 08:00:00,1714,0.761,2252,low,residential,1,0,0,0,Thursday,8,0,0,clear,0
24785,Veeriku,2026-03-26 08:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Thursday,8,0,0,clear,0
24786,Ülejõe,2026-03-26 08:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Thursday,8,0,0,clear,1
24787,Annelinn,2026-03-26 09:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Thursday,9,0,0,clear,1
24788,Ihaste,2026-03-26 09:00:00,3050,4.8,635,low,residential,0,0,0,0,Thursday,9,0,0,clear,0
24789,Jaamamõisa,2026-03-26 09:00:00,3464,1.5,2309,low,residential,1,1,0,0,Thursday,9,0,0,clear,0
24790,Karlova,2026-03-26 09:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Thursday,9,0,0,clear,0
24791,Kesklinn,2026-03-26 09:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Thursday,9,0,0,clear,0
24792,Kvissentali,2026-03-26 09:00:00,865,1.509,573,low,residential,0,0,0,0,Thursday,9,0,0,clear,0
24793,Maarjamõisa,2026-03-26 09:00:00,477,1.133,421,low,residential,0,0,0,0,Thursday,9,0,0,clear,0
24794,Raadi-Kruusamäe,2026-03-26 09:00:00,4804,2.828,1699,low,residential,0,0,0,0,Thursday,9,0,0,clear,0
24795,Ropka,2026-03-26 09:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Thursday,9,0,0,clear,0
24796,Ropka tööstuse,2026-03-26 09:00:00,2198,3.249,676,low,commercial,1,1,0,0,Thursday,9,0,0,clear,0
24797,Ränilinn,2026-03-26 09:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Thursday,9,0,0,clear,0
24798,Supilinn,2026-03-26 09:00:00,2307,0.483,4776,low,residential,1,0,1,0,Thursday,9,0,0,clear,0
24799,Tammelinn,2026-03-26 09:00:00,8118,3.182,2551,low,residential,0,0,0,0,Thursday,9,0,0,clear,0
24800,Tähtvere,2026-03-26 09:00:00,3158,2.5,1263,low,residential,0,0,0,0,Thursday,9,0,0,clear,0
24801,Vaksali,2026-03-26 09:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Thursday,9,0,0,clear,0
24802,Variku,2026-03-26 09:00:00,1714,0.761,2252,low,residential,1,0,0,0,Thursday,9,0,0,clear,0
24803,Veeriku,2026-03-26 09:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Thursday,9,0,0,clear,0
24804,Ülejõe,2026-03-26 09:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Thursday,9,0,0,clear,0
24805,Annelinn,2026-03-26 10:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Thursday,10,0,0,clear,0
24806,Ihaste,2026-03-26 10:00:00,3050,4.8,635,low,residential,0,0,0,0,Thursday,10,0,0,clear,0
24807,Jaamamõisa,2026-03-26 10:00:00,3464,1.5,2309,low,residential,1,1,0,0,Thursday,10,0,0,clear,0
24808,Karlova,2026-03-26 10:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Thursday,10,0,0,clear,1
24809,Kesklinn,2026-03-26 10:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Thursday,10,0,0,clear,0
24810,Kvissentali,2026-03-26 10:00:00,865,1.509,573,low,residential,0,0,0,0,Thursday,10,0,0,clear,0
24811,Maarjamõisa,2026-03-26 10:00:00,477,1.133,421,low,residential,0,0,0,0,Thursday,10,0,0,clear,0
24812,Raadi-Kruusamäe,2026-03-26 10:00:00,4804,2.828,1699,low,residential,0,0,0,0,Thursday,10,0,0,clear,0
24813,Ropka,2026-03-26 10:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Thursday,10,0,0,clear,0
24814,Ropka tööstuse,2026-03-26 10:00:00,2198,3.249,676,low,commercial,1,1,0,0,Thursday,10,0,0,clear,0
24815,Ränilinn,2026-03-26 10:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Thursday,10,0,0,clear,0
24816,Supilinn,2026-03-26 10:00:00,2307,0.483,4776,low,residential,1,0,1,0,Thursday,10,0,0,clear,0
24817,Tammelinn,2026-03-26 10:00:00,8118,3.182,2551,low,residential,0,0,0,0,Thursday,10,0,0,clear,0
24818,Tähtvere,2026-03-26 10:00:00,3158,2.5,1263,low,residential,0,0,0,0,Thursday,10,0,0,clear,0
24819,Vaksali,2026-03-26 10:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Thursday,10,0,0,clear,0
24820,Variku,2026-03-26 10:00:00,1714,0.761,2252,low,residential,1,0,0,0,Thursday,10,0,0,clear,0
24821,Veeriku,2026-03-26 10:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Thursday,10,0,0,clear,0
24822,Ülejõe,2026-03-26 10:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Thursday,10,0,0,clear,0
24823,Annelinn,2026-03-26 11:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Thursday,11,0,0,clear,1
24824,Ihaste,2026-03-26 11:00:00,3050,4.8,635,low,residential,0,0,0,0,Thursday,11,0,0,clear,0
24825,Jaamamõisa,2026-03-26 11:00:00,3464,1.5,2309,low,residential,1,1,0,0,Thursday,11,0,0,clear,0
24826,Karlova,2026-03-26 11:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Thursday,11,0,0,clear,0
24827,Kesklinn,2026-03-26 11:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Thursday,11,0,0,clear,0
24828,Kvissentali,2026-03-26 11:00:00,865,1.509,573,low,residential,0,0,0,0,Thursday,11,0,0,clear,0
24829,Maarjamõisa,2026-03-26 11:00:00,477,1.133,421,low,residential,0,0,0,0,Thursday,11,0,0,clear,0
24830,Raadi-Kruusamäe,2026-03-26 11:00:00,4804,2.828,1699,low,residential,0,0,0,0,Thursday,11,0,0,clear,0
24831,Ropka,2026-03-26 11:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Thursday,11,0,0,clear,0
24832,Ropka tööstuse,2026-03-26 11:00:00,2198,3.249,676,low,commercial,1,1,0,0,Thursday,11,0,0,clear,0
24833,Ränilinn,2026-03-26 11:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Thursday,11,0,0,clear,0
24834,Supilinn,2026-03-26 11:00:00,2307,0.483,4776,low,residential,1,0,1,0,Thursday,11,0,0,clear,0
24835,Tammelinn,2026-03-26 11:00:00,8118,3.182,2551,low,residential,0,0,0,0,Thursday,11,0,0,clear,1
24836,Tähtvere,2026-03-26 11:00:00,3158,2.5,1263,low,residential,0,0,0,0,Thursday,11,0,0,clear,0
24837,Vaksali,2026-03-26 11:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Thursday,11,0,0,clear,0
24838,Variku,2026-03-26 11:00:00,1714,0.761,2252,low,residential,1,0,0,0,Thursday,11,0,0,clear,0
24839,Veeriku,2026-03-26 11:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Thursday,11,0,0,clear,0
24840,Ülejõe,2026-03-26 11:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Thursday,11,0,0,clear,0
24841,Annelinn,2026-03-26 12:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Thursday,12,0,0,clear,0
24842,Ihaste,2026-03-26 12:00:00,3050,4.8,635,low,residential,0,0,0,0,Thursday,12,0,0,clear,0
24843,Jaamamõisa,2026-03-26 12:00:00,3464,1.5,2309,low,residential,1,1,0,0,Thursday,12,0,0,clear,0
24844,Karlova,2026-03-26 12:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Thursday,12,0,0,clear,0
24845,Kesklinn,2026-03-26 12:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Thursday,12,0,0,clear,0
24846,Kvissentali,2026-03-26 12:00:00,865,1.509,573,low,residential,0,0,0,0,Thursday,12,0,0,clear,0
24847,Maarjamõisa,2026-03-26 12:00:00,477,1.133,421,low,residential,0,0,0,0,Thursday,12,0,0,clear,0
24848,Raadi-Kruusamäe,2026-03-26 12:00:00,4804,2.828,1699,low,residential,0,0,0,0,Thursday,12,0,0,clear,0
24849,Ropka,2026-03-26 12:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Thursday,12,0,0,clear,0
24850,Ropka tööstuse,2026-03-26 12:00:00,2198,3.249,676,low,commercial,1,1,0,0,Thursday,12,0,0,clear,0
24851,Ränilinn,2026-03-26 12:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Thursday,12,0,0,clear,0
24852,Supilinn,2026-03-26 12:00:00,2307,0.483,4776,low,residential,1,0,1,0,Thursday,12,0,0,clear,1
24853,Tammelinn,2026-03-26 12:00:00,8118,3.182,2551,low,residential,0,0,0,0,Thursday,12,0,0,clear,0
24854,Tähtvere,2026-03-26 12:00:00,3158,2.5,1263,low,residential,0,0,0,0,Thursday,12,0,0,clear,0
24855,Vaksali,2026-03-26 12:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Thursday,12,0,0,clear,0
24856,Variku,2026-03-26 12:00:00,1714,0.761,2252,low,residential,1,0,0,0,Thursday,12,0,0,clear,0
24857,Veeriku,2026-03-26 12:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Thursday,12,0,0,clear,1
24858,Ülejõe,2026-03-26 12:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Thursday,12,0,0,clear,0
24859,Annelinn,2026-03-26 13:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Thursday,13,0,0,clear,0
24860,Ihaste,2026-03-26 13:00:00,3050,4.8,635,low,residential,0,0,0,0,Thursday,13,0,0,clear,0
24861,Jaamamõisa,2026-03-26 13:00:00,3464,1.5,2309,low,residential,1,1,0,0,Thursday,13,0,0,clear,0
24862,Karlova,2026-03-26 13:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Thursday,13,0,0,clear,0
24863,Kesklinn,2026-03-26 13:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Thursday,13,0,0,clear,2
24864,Kvissentali,2026-03-26 13:00:00,865,1.509,573,low,residential,0,0,0,0,Thursday,13,0,0,clear,0
24865,Maarjamõisa,2026-03-26 13:00:00,477,1.133,421,low,residential,0,0,0,0,Thursday,13,0,0,clear,0
24866,Raadi-Kruusamäe,2026-03-26 13:00:00,4804,2.828,1699,low,residential,0,0,0,0,Thursday,13,0,0,clear,0
24867,Ropka,2026-03-26 13:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Thursday,13,0,0,clear,0
24868,Ropka tööstuse,2026-03-26 13:00:00,2198,3.249,676,low,commercial,1,1,0,0,Thursday,13,0,0,clear,0
24869,Ränilinn,2026-03-26 13:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Thursday,13,0,0,clear,0
24870,Supilinn,2026-03-26 13:00:00,2307,0.483,4776,low,residential,1,0,1,0,Thursday,13,0,0,clear,1
24871,Tammelinn,2026-03-26 13:00:00,8118,3.182,2551,low,residential,0,0,0,0,Thursday,13,0,0,clear,0
24872,Tähtvere,2026-03-26 13:00:00,3158,2.5,1263,low,residential,0,0,0,0,Thursday,13,0,0,clear,0
24873,Vaksali,2026-03-26 13:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Thursday,13,0,0,clear,1
24874,Variku,2026-03-26 13:00:00,1714,0.761,2252,low,residential,1,0,0,0,Thursday,13,0,0,clear,0
24875,Veeriku,2026-03-26 13:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Thursday,13,0,0,clear,0
24876,Ülejõe,2026-03-26 13:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Thursday,13,0,0,clear,0
24877,Annelinn,2026-03-26 14:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Thursday,14,0,0,clear,0
24878,Ihaste,2026-03-26 14:00:00,3050,4.8,635,low,residential,0,0,0,0,Thursday,14,0,0,clear,0
24879,Jaamamõisa,2026-03-26 14:00:00,3464,1.5,2309,low,residential,1,1,0,0,Thursday,14,0,0,clear,0
24880,Karlova,2026-03-26 14:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Thursday,14,0,0,clear,0
24881,Kesklinn,2026-03-26 14:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Thursday,14,0,0,clear,0
24882,Kvissentali,2026-03-26 14:00:00,865,1.509,573,low,residential,0,0,0,0,Thursday,14,0,0,clear,0
24883,Maarjamõisa,2026-03-26 14:00:00,477,1.133,421,low,residential,0,0,0,0,Thursday,14,0,0,clear,0
24884,Raadi-Kruusamäe,2026-03-26 14:00:00,4804,2.828,1699,low,residential,0,0,0,0,Thursday,14,0,0,clear,0
24885,Ropka,2026-03-26 14:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Thursday,14,0,0,clear,0
24886,Ropka tööstuse,2026-03-26 14:00:00,2198,3.249,676,low,commercial,1,1,0,0,Thursday,14,0,0,clear,0
24887,Ränilinn,2026-03-26 14:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Thursday,14,0,0,clear,0
24888,Supilinn,2026-03-26 14:00:00,2307,0.483,4776,low,residential,1,0,1,0,Thursday,14,0,0,clear,0
24889,Tammelinn,2026-03-26 14:00:00,8118,3.182,2551,low,residential,0,0,0,0,Thursday,14,0,0,clear,0
24890,Tähtvere,2026-03-26 14:00:00,3158,2.5,1263,low,residential,0,0,0,0,Thursday,14,0,0,clear,0
24891,Vaksali,2026-03-26 14:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Thursday,14,0,0,clear,0
24892,Variku,2026-03-26 14:00:00,1714,0.761,2252,low,residential,1,0,0,0,Thursday,14,0,0,clear,0
24893,Veeriku,2026-03-26 14:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Thursday,14,0,0,clear,0
24894,Ülejõe,2026-03-26 14:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Thursday,14,0,0,clear,0
24895,Annelinn,2026-03-26 15:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Thursday,15,0,0,clear,1
24896,Ihaste,2026-03-26 15:00:00,3050,4.8,635,low,residential,0,0,0,0,Thursday,15,0,0,clear,0
24897,Jaamamõisa,2026-03-26 15:00:00,3464,1.5,2309,low,residential,1,1,0,0,Thursday,15,0,0,clear,1
24898,Karlova,2026-03-26 15:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Thursday,15,0,0,clear,0
24899,Kesklinn,2026-03-26 15:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Thursday,15,0,0,clear,2
24900,Kvissentali,2026-03-26 15:00:00,865,1.509,573,low,residential,0,0,0,0,Thursday,15,0,0,clear,0
24901,Maarjamõisa,2026-03-26 15:00:00,477,1.133,421,low,residential,0,0,0,0,Thursday,15,0,0,clear,0
24902,Raadi-Kruusamäe,2026-03-26 15:00:00,4804,2.828,1699,low,residential,0,0,0,0,Thursday,15,0,0,clear,0
24903,Ropka,2026-03-26 15:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Thursday,15,0,0,clear,0
24904,Ropka tööstuse,2026-03-26 15:00:00,2198,3.249,676,low,commercial,1,1,0,0,Thursday,15,0,0,clear,0
24905,Ränilinn,2026-03-26 15:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Thursday,15,0,0,clear,0
24906,Supilinn,2026-03-26 15:00:00,2307,0.483,4776,low,residential,1,0,1,0,Thursday,15,0,0,clear,0
24907,Tammelinn,2026-03-26 15:00:00,8118,3.182,2551,low,residential,0,0,0,0,Thursday,15,0,0,clear,0
24908,Tähtvere,2026-03-26 15:00:00,3158,2.5,1263,low,residential,0,0,0,0,Thursday,15,0,0,clear,0
24909,Vaksali,2026-03-26 15:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Thursday,15,0,0,clear,0
24910,Variku,2026-03-26 15:00:00,1714,0.761,2252,low,residential,1,0,0,0,Thursday,15,0,0,clear,0
24911,Veeriku,2026-03-26 15:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Thursday,15,0,0,clear,0
24912,Ülejõe,2026-03-26 15:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Thursday,15,0,0,clear,0
24913,Annelinn,2026-03-26 16:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Thursday,16,0,0,clear,0
24914,Ihaste,2026-03-26 16:00:00,3050,4.8,635,low,residential,0,0,0,0,Thursday,16,0,0,clear,0
24915,Jaamamõisa,2026-03-26 16:00:00,3464,1.5,2309,low,residential,1,1,0,0,Thursday,16,0,0,clear,1
24916,Karlova,2026-03-26 16:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Thursday,16,0,0,clear,1
24917,Kesklinn,2026-03-26 16:00:00,6956,1.799,3867,high,commercial,1,1,1,1,Thursday,16,0,0,clear,0
24918,Kvissentali,2026-03-26 16:00:00,865,1.509,573,low,residential,0,0,0,0,Thursday,16,0,0,clear,0
24919,Maarjamõisa,2026-03-26 16:00:00,477,1.133,421,low,residential,0,0,0,0,Thursday,16,0,0,clear,0
24920,Raadi-Kruusamäe,2026-03-26 16:00:00,4804,2.828,1699,low,residential,0,0,0,0,Thursday,16,0,0,clear,0
24921,Ropka,2026-03-26 16:00:00,4710,1.442,3266,low,mixed,1,1,0,0,Thursday,16,0,0,clear,0
24922,Ropka tööstuse,2026-03-26 16:00:00,2198,3.249,676,low,commercial,1,1,0,0,Thursday,16,0,0,clear,0
24923,Ränilinn,2026-03-26 16:00:00,2189,1.222,1791,medium,mixed,0,0,0,0,Thursday,16,0,0,clear,0
24924,Supilinn,2026-03-26 16:00:00,2307,0.483,4776,low,residential,1,0,1,0,Thursday,16,0,0,clear,0
24925,Tammelinn,2026-03-26 16:00:00,8118,3.182,2551,low,residential,0,0,0,0,Thursday,16,0,0,clear,0
24926,Tähtvere,2026-03-26 16:00:00,3158,2.5,1263,low,residential,0,0,0,0,Thursday,16,0,0,clear,0
24927,Vaksali,2026-03-26 16:00:00,3091,0.666,4641,medium,mixed,0,0,1,1,Thursday,16,0,0,clear,1
24928,Variku,2026-03-26 16:00:00,1714,0.761,2252,low,residential,1,0,0,0,Thursday,16,0,0,clear,0
24929,Veeriku,2026-03-26 16:00:00,5070,2.823,1796,medium,residential,0,1,0,0,Thursday,16,0,0,clear,0
24930,Ülejõe,2026-03-26 16:00:00,7559,1.525,4957,medium,mixed,0,1,1,1,Thursday,16,0,0,clear,0
24931,Annelinn,2026-03-26 17:00:00,24981,4.91,5088,medium,residential,1,1,0,0,Thursday,17,0,0,clear,0
24932,Ihaste,2026-03-26 17:00:00,3050,4.8,635,low,residential,0,0,0,0,Thursday,17,0,0,clear,0
24933,Jaamamõisa,2026-03-26 17:00:00,3464,1.5,2309,low,residential,1,1,0,0,Thursday,17,0,0,clear,0
24934,Karlova,2026-03-26 17:00:00,8748,2.683,3261,medium,residential,1,0,1,1,Thursday,17,0,0,clear,0
